Rep,Group Size,Random Group Score,Random Group Overlap,Super Group Score,Super Group Overlap
0,1.0,0.005645477388975803,0.0,0.9203588687496891,0.0
0,2.0,0.008870891165907824,2.0,0.9402556196825712,3.0
0,3.0,0.014064886181942925,3.0,0.880506876237005,6.0
0,4.0,0.012416650084670768,5.0,0.8805019746366324,9.0
0,5.0,0.013586686554194953,8.0,0.8805023043047749,12.0
0,6.0,0.01924895589504741,9.0,0.9003848923170048,15.0
0,7.0,0.960171512437811,10.0,0.8207261336480381,17.0
0,8.0,1.0,13.0,0.8207792189501708,20.0
0,9.0,0.9800914572864322,16.0,0.9601690693069307,22.0
0,10.0,0.9402654673366836,19.0,0.960172864321608,25.0
0,11.0,0.9601849246231157,22.0,0.8605735296302908,27.0
0,12.0,1.0,24.0,0.9402559244981125,30.0
0,13.0,1.0,27.0,0.9203548994974875,32.0
0,14.0,1.0,30.0,0.960175879396985,34.0
0,15.0,1.0,33.0,1.0,36.0
1,1.0,0.007481879470346612,0.0,0.8007442003313394,0.0
1,2.0,0.01715587138230863,1.0,0.8206825336646727,3.0
1,3.0,0.017968670368893977,2.0,0.7609215060633848,6.0
1,4.0,0.01825824428891258,3.0,0.6612708144931315,9.0
1,5.0,1.0,3.0,0.7409838988704652,12.0
1,6.0,1.0,6.0,0.8405847151147998,15.0
1,7.0,1.0,9.0,0.7608610843544653,17.0
1,8.0,1.0,12.0,0.9003937304755695,19.0
1,9.0,1.0,15.0,0.8605123598383122,22.0
1,10.0,1.0,18.0,0.8804631998173249,25.0
1,11.0,1.0,21.0,0.8804341869695862,27.0
1,12.0,1.0,24.0,0.9402313574120821,29.0
1,13.0,1.0,27.0,0.9402294501265561,32.0
1,14.0,1.0,30.0,0.9402331764295677,35.0
1,15.0,1.0,33.0,0.9402321907454154,38.0
2,1.0,0.007387895590505114,0.0,0.8805022254761892,0.0
2,2.0,0.008958101705751557,1.0,0.8804650387502185,3.0
2,3.0,0.015902876387865424,2.0,0.7809320038812868,6.0
