Rep,Group Size,Random Group Score,Random Group Overlap,Super Group Score,Super Group Overlap
0,1.0,0.012448132780082987,0.0,1.0,0.0
0,2.0,0.012448132780082987,1.0,1.0,3.0
0,3.0,0.016597510373443983,2.0,1.0,6.0
0,4.0,0.016597510373443983,3.0,1.0,9.0
0,5.0,0.012448132780082987,6.0,1.0,11.0
0,6.0,0.012448132780082987,8.0,1.0,13.0
0,7.0,0.012448132780082987,11.0,1.0,15.0
0,8.0,0.012448132780082987,13.0,1.0,17.0
0,9.0,0.024896265560165973,16.0,1.0,20.0
0,10.0,1.0,18.0,1.0,22.0
0,11.0,1.0,21.0,1.0,25.0
0,12.0,1.0,24.0,1.0,28.0
0,13.0,1.0,27.0,1.0,31.0
0,14.0,1.0,30.0,1.0,34.0
0,15.0,1.0,33.0,1.0,37.0
1,1.0,0.006993006993006993,0.0,1.0,0.0
1,2.0,0.006993006993006993,2.0,1.0,3.0
1,3.0,0.006993006993006993,2.0,1.0,6.0
1,4.0,0.01048951048951049,5.0,1.0,9.0
1,5.0,0.01048951048951049,6.0,1.0,10.0
1,6.0,0.01048951048951049,7.0,1.0,12.0
1,7.0,0.006993006993006993,10.0,1.0,14.0
1,8.0,0.006993006993006993,13.0,1.0,17.0
1,9.0,1.0,15.0,1.0,20.0
1,10.0,1.0,18.0,1.0,22.0
1,11.0,1.0,21.0,1.0,24.0
1,12.0,1.0,24.0,1.0,27.0
1,13.0,1.0,27.0,1.0,30.0
1,14.0,1.0,30.0,1.0,33.0
1,15.0,1.0,33.0,1.0,36.0
