Rep,Step set size,Group size,Random group score,Super group score
0,1.0,1.0,0.006604000000000001,1.0
0,1.0,2.0,0.8007106666666667,1.0
0,1.0,3.0,0.9335760000000001,1.0
0,1.0,4.0,0.833924,1.0
0,1.0,5.0,0.9335906666666667,1.0
0,1.0,6.0,1.0,1.0
0,1.0,7.0,1.0,1.0
0,1.0,8.0,1.0,1.0
0,1.0,9.0,1.0,1.0
0,1.0,10.0,1.0,1.0
0,1.0,11.0,1.0,1.0
0,1.0,12.0,1.0,1.0
0,1.0,13.0,1.0,1.0
0,1.0,14.0,1.0,1.0
0,1.0,15.0,1.0,1.0
0,2.0,1.0,0.0064315370411218075,1.0
0,2.0,2.0,0.013029552209489885,1.0
0,2.0,3.0,1.0,1.0
0,2.0,4.0,1.0,1.0
0,2.0,5.0,1.0,1.0
0,2.0,6.0,1.0,1.0
0,2.0,7.0,1.0,1.0
0,2.0,8.0,1.0,1.0
0,2.0,9.0,1.0,1.0
0,2.0,10.0,1.0,1.0
0,2.0,11.0,1.0,1.0
0,2.0,12.0,1.0,1.0
0,2.0,13.0,1.0,1.0
0,2.0,14.0,1.0,1.0
0,2.0,15.0,1.0,1.0
0,3.0,1.0,0.012074868075438202,0.8008896007551927
0,3.0,2.0,0.014037310020687014,0.8340431934231873
0,3.0,3.0,0.015311059114657511,0.8008007602214151
0,3.0,4.0,0.016081265577095397,0.767683290500361
0,3.0,5.0,0.018699778080567837,0.7676433746019219
0,3.0,6.0,0.023187275097892986,0.7012737304325355
0,3.0,7.0,0.021372461555994378,0.9004154297689767
0,3.0,8.0,0.02117415187367598,0.7676788181481322
0,3.0,9.0,0.019789530465038306,0.8672453325633681
0,3.0,10.0,0.020325401540731036,0.8672811454849498
0,3.0,11.0,1.0,0.8340661364682757
0,3.0,12.0,1.0,0.900453785103785
0,3.0,13.0,1.0,0.9668276422764227
0,3.0,14.0,1.0,0.9004237686519663
0,3.0,15.0,1.0,0.9336339914827719
0,4.0,1.0,0.005830735207926234,0.01971063176796473
0,4.0,2.0,0.012811967964640614,0.8008231303121351
0,4.0,3.0,0.011977407217096512,0.8008478353789567
0,4.0,4.0,0.012307225129210982,0.8008564754672922
0,4.0,5.0,0.01620972707369322,0.8340244030357223
0,4.0,6.0,0.020282160703487557,0.7676838866348049
0,4.0,7.0,0.02179780155017375,0.7676559971496852
0,4.0,8.0,0.022303589442395806,0.7344555025526781
0,4.0,9.0,1.0,0.7676626064217772
0,4.0,10.0,1.0,0.7344668820037558
0,4.0,11.0,1.0,0.7676998819299958
0,4.0,12.0,1.0,0.800866226367972
0,4.0,13.0,1.0,0.8008898268614397
0,4.0,14.0,1.0,0.8672809518670309
0,4.0,15.0,1.0,0.9668172588832487
0,5.0,1.0,0.010679555515779236,0.016682199924329056
0,5.0,2.0,0.013130465197662197,0.8341019313939334
0,5.0,3.0,0.021587781704956822,0.9004463734575426
0,5.0,4.0,0.021046731886871686,0.8009063745664324
0,5.0,5.0,0.023410249516845175,0.9004593602562226
0,5.0,6.0,0.02236386247955757,0.8672908949096879
0,5.0,7.0,0.024939710569680903,0.7676740261473274
0,5.0,8.0,0.02783491461182131,0.8672000713967433
0,5.0,9.0,0.9668056951423786,0.8672539271181364
0,5.0,10.0,1.0,0.867260593784803
0,5.0,11.0,1.0,0.8008947478886557
0,5.0,12.0,1.0,0.8008899790832696
0,5.0,13.0,1.0,0.800902177451809
0,5.0,14.0,1.0,0.9004719868637109
0,5.0,15.0,1.0,0.8672946390735318
0,6.0,1.0,0.0060914140041804276,0.01340518280148224
0,6.0,2.0,0.015902762489891423,0.013615874625381611
0,6.0,3.0,0.016714358378123188,0.019837302978617865
0,6.0,4.0,0.02289772165415904,0.03488909090927721
0,6.0,5.0,0.02324668919320471,0.03394115365941465
0,6.0,6.0,0.022626379614527382,0.03493294315432273
0,6.0,7.0,0.03764105947145482,0.0361623483931763
0,6.0,8.0,0.039846330359633995,0.036625397638541675
0,6.0,9.0,0.03669913270956685,0.035336786156466134
0,6.0,10.0,0.03779110662913295,0.03553524700008166
0,6.0,11.0,0.040003556165142014,0.03693261020600958
0,6.0,12.0,0.03685489594944224,0.033650051735848556
0,6.0,13.0,0.03669913270956685,0.035194301476220345
0,6.0,14.0,0.03669913270956685,0.8008544953041354
0,6.0,15.0,0.03669913270956685,0.7676505027669661
1,1.0,1.0,0.36851631701631704,1.0
1,1.0,2.0,0.8006375291375291,1.0
1,1.0,3.0,0.8338368298368298,1.0
1,1.0,4.0,0.9667808857808857,1.0
1,1.0,5.0,0.9335606060606061,1.0
1,1.0,6.0,0.9003100233100233,1.0
1,1.0,7.0,1.0,1.0
1,1.0,8.0,1.0,1.0
1,1.0,9.0,1.0,1.0
1,1.0,10.0,1.0,1.0
1,1.0,11.0,1.0,1.0
1,1.0,12.0,1.0,1.0
1,1.0,13.0,1.0,1.0
1,1.0,14.0,1.0,1.0
1,1.0,15.0,1.0,1.0
1,2.0,1.0,0.005050686051801251,1.0
1,2.0,2.0,0.007167567262251662,1.0
1,2.0,3.0,0.007460013104397223,1.0
1,2.0,4.0,0.008330778572340115,1.0
1,2.0,5.0,0.010151320136036273,1.0
1,2.0,6.0,0.7677194008247169,1.0
1,2.0,7.0,1.0,1.0
1,2.0,8.0,0.9668173076923077,1.0
1,2.0,9.0,1.0,1.0
1,2.0,10.0,1.0,1.0
1,2.0,11.0,0.9668173076923077,1.0
1,2.0,12.0,1.0,1.0
1,2.0,13.0,1.0,1.0
1,2.0,14.0,1.0,1.0
1,2.0,15.0,1.0,1.0
1,3.0,1.0,0.0065126101761575845,0.8670867132177149
1,3.0,2.0,0.020280890212055258,0.8670961898017371
1,3.0,3.0,0.024148705873450506,0.8338871027712713
1,3.0,4.0,0.026087713662587154,0.83386083399757
1,3.0,5.0,0.02566453963031325,0.7674853699742651
1,3.0,6.0,0.03139011993353292,0.7674459078083402
1,3.0,7.0,0.025995507966749494,0.9335518131101813
1,3.0,8.0,0.02652062196112891,0.900373070715455
1,3.0,9.0,0.9668042553191489,0.9668030942334739
1,3.0,10.0,1.0,0.9667950819672131
1,3.0,11.0,1.0,0.9335912252179017
1,3.0,12.0,1.0,1.0
1,3.0,13.0,1.0,0.9667986394557823
1,3.0,14.0,1.0,1.0
1,3.0,15.0,1.0,0.9667986394557823
1,4.0,1.0,0.0078435197943879,0.03141050963286514
1,4.0,2.0,0.01019953402073414,0.02765939812382178
1,4.0,3.0,0.010846411286547987,0.028808490116988276
1,4.0,4.0,0.01587542395577076,0.029515565898570375
1,4.0,5.0,0.016524423495359365,0.9003859917035705
1,4.0,6.0,0.02047533501387796,0.8339720477727354
1,4.0,7.0,0.023748385353845176,0.8672127485881959
1,4.0,8.0,0.020449636278485735,0.8007918836308917
