Rep,Group Size,Random Group Score,Random Group Overlap,Super Group Score,Super Group Overlap
0,1.0,0.007986866859924384,0.0,0.840698734531903,0.0
0,2.0,0.011818785673834382,1.0,0.8207924543386663,3.0
0,3.0,0.013116466028665513,3.0,0.8207643867917679,6.0
0,4.0,0.9402758866126777,3.0,0.8605900261324042,9.0
0,5.0,0.8805298176847777,6.0,0.780854766268915,12.0
0,6.0,0.8606287463064585,9.0,0.88048393681215,15.0
0,7.0,0.940251024811219,12.0,0.8804987262016862,17.0
0,8.0,0.9601760795191864,14.0,0.8008634337541125,20.0
0,9.0,1.0,16.0,0.8805194747761971,22.0
0,10.0,1.0,18.0,0.9402454199052979,25.0
0,11.0,1.0,21.0,0.8805180300621314,28.0
0,12.0,1.0,24.0,0.9402746721877158,30.0
0,13.0,1.0,27.0,0.9203593606374589,33.0
0,14.0,1.0,30.0,0.9203572339615458,35.0
0,15.0,1.0,33.0,0.9402650009518371,38.0
1,1.0,0.007877859021367416,0.0,0.9203172812571546,0.0
1,2.0,0.01103746165012727,1.0,0.9003952812571546,3.0
1,3.0,0.02094966046787025,2.0,0.9203119631889812,6.0
1,4.0,0.021272870773870474,4.0,0.9800916256157635,9.0
1,5.0,0.021304555442457778,5.0,0.8406618819369498,12.0
1,6.0,0.022825247106065615,8.0,0.9203264162104052,15.0
1,7.0,0.023506081098112537,11.0,0.9402476295158609,17.0
1,8.0,0.02302560018903099,14.0,0.9601939698492462,19.0
1,9.0,0.023500644065989618,17.0,0.9601950243829986,22.0
1,10.0,0.9800970000000001,19.0,0.9402694717367934,25.0
1,11.0,0.9800950495049504,22.0,1.0,27.0
1,12.0,1.0,24.0,0.9800975369458128,30.0
1,13.0,1.0,27.0,0.9601825621890547,32.0
1,14.0,1.0,30.0,0.980098,35.0
1,15.0,1.0,33.0,1.0,38.0
2,1.0,0.005585556677387208,0.0,0.8008353657999945,0.0
2,2.0,0.012219383832675412,0.0,0.8207660975073116,3.0
2,3.0,0.013823449958906093,1.0,0.8007726544343754,6.0
2,4.0,0.9402671483824777,1.0,0.8804311947809373,9.0
2,5.0,0.9402610785879714,4.0,0.7808820885745231,12.0
2,6.0,0.9203518935985845,7.0,0.7609824010726294,15.0
2,7.0,0.9800904761904762,10.0,0.7808480480700158,17.0
2,8.0,0.9203481498711951,13.0,0.9004001835369807,20.0
2,9.0,0.9004323461135492,16.0,0.9202877093752481,22.0
2,10.0,0.9601824193184383,19.0,0.8606109018511475,25.0
2,11.0,1.0,21.0,0.9003763352098051,28.0
2,12.0,1.0,24.0,0.8804626202375464,31.0
2,13.0,1.0,27.0,0.9004114523396008,34.0
2,14.0,1.0,30.0,0.9402316956471001,36.0
2,15.0,1.0,33.0,0.9203639201937645,39.0
3,1.0,0.007333403373739684,0.0,0.9601060526315789,0.0
3,2.0,0.012414541747006111,0.0,0.9401664035087718,3.0
3,3.0,0.017232286859838873,2.0,0.960113048245614,6.0
3,4.0,0.016387973414793113,5.0,0.9003089151178304,9.0
3,5.0,0.016432316607702967,7.0,0.9002872257335574,12.0
3,6.0,0.01563928715212105,10.0,0.9202107907172125,15.0
3,7.0,0.016336128377725342,13.0,0.9202382587566479,17.0
3,8.0,1.0,15.0,0.9800559440559441,20.0
3,9.0,0.9800694736842105,17.0,0.9202482733713654,23.0
3,10.0,0.9401991211201078,20.0,0.8604270674744317,26.0
3,11.0,1.0,22.0,0.9003147044667718,29.0
3,12.0,1.0,25.0,0.9003077304809013,31.0
3,13.0,1.0,28.0,0.9202574164832814,33.0
3,14.0,1.0,30.0,0.9601298579469311,36.0
3,15.0,1.0,33.0,0.8604399192436787,39.0
4,1.0,0.007910583959824804,0.0,0.8606058681980248,0.0
4,2.0,0.010662452602696604,1.0,0.8008539833155068,3.0
4,3.0,0.010971317432484171,3.0,0.8406584115673387,6.0
4,4.0,0.013271800833824739,5.0,0.8208092611578488,9.0
4,5.0,0.012139049480545528,7.0,0.8406675559699219,12.0
4,6.0,0.02118175077765825,8.0,0.9004087345387898,15.0
4,7.0,0.01948043427926691,11.0,0.9800915422885572,17.0
4,8.0,0.021803186106604668,13.0,0.9601751960784314,20.0
4,9.0,0.020855361057840388,16.0,1.0,22.0
4,10.0,1.0,18.0,1.0,25.0
4,11.0,1.0,21.0,0.9800901960784314,28.0
4,12.0,1.0,24.0,1.0,31.0
4,13.0,1.0,27.0,1.0,34.0
4,14.0,1.0,30.0,0.9800901960784314,37.0
4,15.0,1.0,33.0,1.0,39.0
5,1.0,0.005920131708502713,0.0,0.9004086042600897,0.0
5,2.0,0.012108153785690181,0.0,0.9601452914798206,3.0
5,3.0,0.013769035262318687,2.0,0.8804891891891892,6.0
5,4.0,0.019075798170000793,4.0,0.9402107623318386,9.0
5,5.0,1.0,5.0,0.8406515243101848,12.0
5,6.0,1.0,8.0,0.8804717488789237,15.0
5,7.0,1.0,11.0,0.8804810932008243,17.0
5,8.0,1.0,14.0,0.9003923039631561,20.0
5,9.0,1.0,17.0,0.9402206278026906,22.0
5,10.0,1.0,19.0,0.9203213666500134,25.0
5,11.0,1.0,22.0,0.9800887892376682,27.0
5,12.0,1.0,25.0,1.0,29.0
5,13.0,1.0,28.0,1.0,32.0
5,14.0,1.0,31.0,0.9800887892376682,35.0
5,15.0,1.0,34.0,1.0,37.0
6,1.0,0.0120911656962563,0.0,0.9202836543752118,0.0
6,2.0,0.020660780813149243,0.0,0.9003283082938016,3.0
6,3.0,0.020009457765609938,2.0,0.9003023257610505,6.0
6,4.0,0.900403415529401,3.0,0.960111233399369,9.0
6,5.0,0.9800820083682008,5.0,0.880418634253153,12.0
6,6.0,1.0,7.0,0.9003627185091015,15.0
6,7.0,1.0,10.0,1.0,17.0
6,8.0,1.0,12.0,0.9800759825327511,20.0
6,9.0,1.0,15.0,0.9402434800524837,23.0
6,10.0,1.0,18.0,0.9601593428781204,25.0
6,11.0,1.0,21.0,0.9800852173913043,28.0
6,12.0,1.0,24.0,0.9601653936027581,31.0
6,13.0,1.0,27.0,0.9800801762114537,34.0
6,14.0,1.0,30.0,1.0,37.0
6,15.0,1.0,33.0,1.0,39.0
7,1.0,0.009105690585376126,0.0,0.8605145444970596,0.0
7,2.0,0.010272640666206558,0.0,0.8405672140922745,3.0
7,3.0,0.01077070101183405,2.0,0.7609182553832976,6.0
7,4.0,0.012659006731533862,4.0,0.900398501639157,9.0
7,5.0,0.01643303456495983,5.0,0.7807960954481382,12.0
7,6.0,0.014670108945545777,8.0,0.780803996186371,15.0
7,7.0,0.024827608922480895,10.0,0.8206769141998886,17.0
7,8.0,0.024764296013749743,13.0,0.8207265562178546,20.0
7,9.0,0.025088186076103806,16.0,0.8007718779999745,23.0
7,10.0,0.025076539689416172,19.0,0.780816304138712,26.0
7,11.0,0.023529628106119475,22.0,0.8604899556082652,29.0
7,12.0,1.0,24.0,0.8206436176371322,32.0
7,13.0,1.0,27.0,0.76088658048036,34.0
7,14.0,1.0,30.0,0.8405759903574187,37.0
7,15.0,1.0,33.0,0.9402360772447983,39.0
8,1.0,0.01119101309257547,0.0,0.9203278406576945,0.0
8,2.0,0.012118256749085819,0.0,0.9203254374935409,3.0
8,3.0,0.013827408927683764,2.0,0.9402495754245754,6.0
8,4.0,0.01871161844111519,3.0,0.9203456351219994,9.0
8,5.0,0.01844964255954174,6.0,0.8805156607036386,12.0
8,6.0,0.020166847246608798,7.0,0.8605947906619921,15.0
8,7.0,0.020672031068349726,10.0,0.9203668352147153,17.0
8,8.0,0.019690407450309127,13.0,0.8805387617143584,19.0
8,9.0,0.01923233061858735,16.0,0.9203651608841116,22.0
8,10.0,0.021471109420601455,19.0,0.9402628307100804,24.0
8,11.0,0.02086001130792181,22.0,1.0,26.0
8,12.0,0.020599273564713264,25.0,0.9601715804002761,28.0
8,13.0,0.020572206490209924,28.0,0.9800774509803921,30.0
8,14.0,0.02037863038776381,31.0,1.0,32.0
8,15.0,0.02048217996101214,34.0,0.9800942857142857,35.0
9,1.0,0.006273086090560694,0.0,0.8207267707687745,0.0
9,2.0,0.017331670553862328,0.0,0.8207267707687745,3.0
9,3.0,0.015816762056047304,3.0,0.8406716444091568,6.0
9,4.0,0.015848605742397392,6.0,0.7410947122503299,9.0
9,5.0,0.01568946720339538,8.0,0.7012512330780523,12.0
9,6.0,0.018604243719521303,10.0,0.6614465562480106,15.0
9,7.0,0.019208784740432243,13.0,0.76103067327841,17.0
9,8.0,0.021002459816677456,15.0,0.8407045522067054,19.0
9,9.0,0.019639777881433472,17.0,0.8407231517037479,22.0
