Rep,Step set size,Group size,Random group score,Super group score
0,1.0,1.0,0.007525,1.0
0,1.0,2.0,0.009219999999999997,1.0
0,1.0,3.0,0.011405000000000002,1.0
0,1.0,4.0,1.0,1.0
0,1.0,5.0,1.0,1.0
0,1.0,6.0,1.0,1.0
0,1.0,7.0,1.0,1.0
0,1.0,8.0,1.0,1.0
0,1.0,9.0,1.0,1.0
0,1.0,10.0,1.0,1.0
0,1.0,11.0,1.0,1.0
0,1.0,12.0,1.0,1.0
0,1.0,13.0,1.0,1.0
0,1.0,14.0,1.0,1.0
0,1.0,15.0,1.0,1.0
0,2.0,1.0,0.007468475590153394,1.0
0,2.0,2.0,0.40267547246716273,1.0
0,2.0,3.0,0.5024084871865527,1.0
0,2.0,4.0,0.8009660512537888,1.0
0,2.0,5.0,0.9004473684210528,1.0
0,2.0,6.0,0.9005157894736844,1.0
0,2.0,7.0,0.8009712868558833,1.0
0,2.0,8.0,1.0,1.0
0,2.0,9.0,0.9005157894736844,1.0
0,2.0,10.0,0.9005157894736844,1.0
0,2.0,11.0,1.0,1.0
0,2.0,12.0,1.0,0.9005078534031414
0,2.0,13.0,1.0,1.0
0,2.0,14.0,0.9005157894736844,1.0
0,2.0,15.0,0.9005157894736844,1.0
0,3.0,1.0,0.009451912228498782,1.0
0,3.0,2.0,0.9004179104477611,1.0
0,3.0,3.0,1.0,1.0
0,3.0,4.0,1.0,1.0
0,3.0,5.0,1.0,0.9004924623115578
0,3.0,6.0,1.0,0.9004924623115578
0,3.0,7.0,1.0,0.9004874371859296
0,3.0,8.0,1.0,1.0
0,3.0,9.0,1.0,0.9004874371859296
0,3.0,10.0,1.0,1.0
0,3.0,11.0,1.0,0.8009725857007812
0,3.0,12.0,1.0,1.0
0,3.0,13.0,1.0,0.9004851485148514
0,3.0,14.0,1.0,1.0
0,3.0,15.0,1.0,1.0
0,4.0,1.0,0.009524997200304254,0.02234976966442086
0,4.0,2.0,0.013889816242746617,0.02234976966442086
0,4.0,3.0,0.019640010544750265,0.8008227673207851
0,4.0,4.0,0.9003954545454546,0.8008227673207851
0,4.0,5.0,0.9004200913242009,0.800809551461754
0,4.0,6.0,1.0,0.7012218704597984
0,4.0,7.0,1.0,0.8008315778934723
0,4.0,8.0,1.0,0.8007868241890268
0,4.0,9.0,0.9003954545454546,0.800809551461754
0,4.0,10.0,0.8008550689026762,0.9003946188340807
0,4.0,11.0,1.0,0.7011991431870712
0,4.0,12.0,1.0,0.9003991031390134
0,4.0,13.0,1.0,1.0
0,4.0,14.0,1.0,0.8008227673207851
0,4.0,15.0,1.0,0.9004361233480175
0,5.0,1.0,0.008497462431309158,0.020559078622305785
0,5.0,2.0,0.014897595887899961,0.020559078622305785
0,5.0,3.0,0.02637571306238228,0.020559078622305785
0,5.0,4.0,0.9004567307692308,0.021048363098088933
0,5.0,5.0,0.9004567307692308,0.02057442944879983
0,5.0,6.0,0.9004567307692308,0.021048363098088933
0,5.0,7.0,1.0,0.030792808023654368
0,5.0,8.0,1.0,0.026026194617105813
0,5.0,9.0,1.0,0.9004333333333333
0,5.0,10.0,1.0,1.0
0,5.0,11.0,1.0,0.9004660194174757
0,5.0,12.0,1.0,1.0
0,5.0,13.0,1.0,0.8009227501867067
0,5.0,14.0,1.0,0.800890064102564
0,5.0,15.0,1.0,0.9004805825242718
0,6.0,1.0,0.0068813998885629115,0.017889069864268393
0,6.0,2.0,0.006930767103311292,0.017889069864268393
0,6.0,3.0,0.010773742909305968,0.01609534789117422
0,6.0,4.0,0.011148438359473116,0.03680351368614986
0,6.0,5.0,0.010317185582031997,1.0
0,6.0,6.0,0.024355573298311246,1.0
0,6.0,7.0,0.9004304932735426,1.0
0,6.0,8.0,1.0,1.0
0,6.0,9.0,1.0,1.0
0,6.0,10.0,1.0,1.0
0,6.0,11.0,1.0,0.8008444444444445
0,6.0,12.0,1.0,0.9004088888888889
0,6.0,13.0,1.0,1.0
0,6.0,14.0,1.0,0.9004035874439461
0,6.0,15.0,1.0,1.0
1,1.0,1.0,0.5026826347305391,1.0
1,1.0,2.0,0.7016167664670659,1.0
1,1.0,3.0,0.9005868263473055,1.0
1,1.0,4.0,1.0,1.0
1,1.0,5.0,1.0,1.0
1,1.0,6.0,0.8010179640718562,1.0
1,1.0,7.0,1.0,1.0
1,1.0,8.0,1.0,1.0
1,1.0,9.0,1.0,1.0
1,1.0,10.0,1.0,1.0
1,1.0,11.0,1.0,1.0
1,1.0,12.0,1.0,1.0
1,1.0,13.0,1.0,1.0
1,1.0,14.0,1.0,1.0
1,1.0,15.0,1.0,1.0
1,2.0,1.0,0.033859889308451345,1.0
1,2.0,2.0,0.80081510035043,1.0
1,2.0,3.0,0.900424778761062,1.0
1,2.0,4.0,1.0,1.0
1,2.0,5.0,1.0,1.0
1,2.0,6.0,0.900424778761062,1.0
1,2.0,7.0,1.0,1.0
1,2.0,8.0,1.0,1.0
1,2.0,9.0,1.0,1.0
1,2.0,10.0,1.0,1.0
1,2.0,11.0,1.0,1.0
1,2.0,12.0,1.0,1.0
1,2.0,13.0,1.0,1.0
1,2.0,14.0,1.0,1.0
1,2.0,15.0,0.900424778761062,1.0
1,3.0,1.0,0.005041024330863367,1.0
1,3.0,2.0,0.701157222075967,1.0
1,3.0,3.0,1.0,1.0
1,3.0,4.0,1.0,0.9002831858407079
1,3.0,5.0,1.0,0.8007055996338114
1,3.0,6.0,0.9003991228070175,0.8004771513579494
1,3.0,7.0,0.9003940677966102,0.8004771513579494
1,3.0,8.0,1.0,1.0
1,3.0,9.0,1.0,1.0
1,3.0,10.0,1.0,1.0
1,3.0,11.0,1.0,1.0
1,3.0,12.0,1.0,1.0
1,3.0,13.0,1.0,1.0
1,3.0,14.0,1.0,0.8008059024680346
1,3.0,15.0,1.0,1.0
1,4.0,1.0,0.008923639754269198,0.03278483955344849
1,4.0,2.0,0.011500528664230028,0.031989437138282874
1,4.0,3.0,0.011112768291240025,0.03278483955344849
1,4.0,4.0,0.017797236640792802,0.02320950287085509
1,4.0,5.0,0.01278237790343668,0.029305473817910994
1,4.0,6.0,0.023151780315211732,0.7011409465020576
1,4.0,7.0,0.026087302672302713,0.9003621399176953
1,4.0,8.0,0.022721926842327666,0.7011488879799769
1,4.0,9.0,0.029425297802274424,0.800792465103196
1,4.0,10.0,0.023188313396949514,0.9003934426229507
1,4.0,11.0,1.0,0.9003909465020576
1,4.0,12.0,1.0,0.7011778317479592
1,4.0,13.0,1.0,0.800792465103196
1,4.0,14.0,1.0,0.7011860449097671
1,4.0,15.0,1.0,0.9003991596638656
1,5.0,1.0,0.007133996644747911,0.01978171881662525
1,5.0,2.0,0.009781078371759096,0.039242712856350545
1,5.0,3.0,0.014109479359651358,1.0
1,5.0,4.0,0.01653912592198651,1.0
1,5.0,5.0,0.025070974203104716,1.0
1,5.0,6.0,0.02339030193419716,1.0
1,5.0,7.0,0.027166409887752024,1.0
1,5.0,8.0,1.0,1.0
1,5.0,9.0,1.0,1.0
1,5.0,10.0,1.0,1.0
1,5.0,11.0,1.0,0.900311203319502
1,5.0,12.0,1.0,0.900311203319502
1,5.0,13.0,1.0,0.9003571428571429
1,5.0,14.0,1.0,1.0
1,5.0,15.0,1.0,1.0
1,6.0,1.0,0.006830146505981821,0.017834500385338996
1,6.0,2.0,0.013580157497632587,0.019288283838303673
1,6.0,3.0,0.014413767363954902,0.02413464843901676
1,6.0,4.0,0.01660299672736837,0.01753862231677044
1,6.0,5.0,0.022842745746528535,0.02150933122749265
1,6.0,6.0,0.01979353876719055,0.043580326715434554
1,6.0,7.0,0.027639353899115114,0.044403285365979414
1,6.0,8.0,0.026773553033314246,0.04747687843957249
1,6.0,9.0,0.03653078609323544,1.0
1,6.0,10.0,1.0,1.0
1,6.0,11.0,1.0,1.0
1,6.0,12.0,1.0,1.0
1,6.0,13.0,1.0,1.0
1,6.0,14.0,1.0,1.0
1,6.0,15.0,1.0,1.0
2,1.0,1.0,0.009886227544910179,1.0
2,1.0,2.0,0.012341317365269461,1.0
2,1.0,3.0,0.017251497005988024,1.0
2,1.0,4.0,0.013059880239520958,1.0
2,1.0,5.0,0.01605389221556886,1.0
2,1.0,6.0,0.014353293413173651,1.0
2,1.0,7.0,0.0155688622754491,1.0
2,1.0,8.0,0.015455089820359282,1.0
2,1.0,9.0,0.013640718562874254,1.0
2,1.0,10.0,0.015568862275449106,1.0
2,1.0,11.0,0.01437125748502994,1.0
2,1.0,12.0,0.014371257485029942,1.0
2,1.0,13.0,1.0,1.0
2,1.0,14.0,1.0,1.0
2,1.0,15.0,1.0,1.0
2,2.0,1.0,0.4025744281142451,1.0
2,2.0,2.0,0.7012671757796075,1.0
2,2.0,3.0,1.0,1.0
2,2.0,4.0,1.0,1.0
2,2.0,5.0,1.0,1.0
2,2.0,6.0,1.0,1.0
2,2.0,7.0,1.0,1.0
2,2.0,8.0,1.0,1.0
2,2.0,9.0,1.0,1.0
2,2.0,10.0,1.0,1.0
2,2.0,11.0,1.0,1.0
2,2.0,12.0,1.0,1.0
2,2.0,13.0,1.0,1.0
2,2.0,14.0,1.0,1.0
2,2.0,15.0,1.0,1.0
2,3.0,1.0,0.004729381200682018,0.9003983739837398
2,3.0,2.0,0.025371019236252214,1.0
2,3.0,3.0,0.022164553652009717,0.9003474576271187
2,3.0,4.0,0.025076495701959328,0.9003474576271187
2,3.0,5.0,0.025094066084274724,0.8006850103697347
2,3.0,6.0,1.0,0.7010835662113345
2,3.0,7.0,1.0,0.7010086539990832
2,3.0,8.0,1.0,1.0
2,3.0,9.0,1.0,0.8007460134687184
2,3.0,10.0,1.0,0.9003983739837398
2,3.0,11.0,1.0,0.8006711012564672
2,3.0,12.0,1.0,0.9003983739837398
2,3.0,13.0,1.0,1.0
2,3.0,14.0,1.0,1.0
2,3.0,15.0,1.0,1.0
2,4.0,1.0,0.016789473899803266,0.02781924782112246
2,4.0,2.0,0.9003484162895928,0.025606858440591483
2,4.0,3.0,1.0,0.029390642224375273
2,4.0,4.0,1.0,0.025606858440591483
2,4.0,5.0,1.0,0.9002702702702703
2,4.0,6.0,1.0,0.9002702702702703
2,4.0,7.0,1.0,0.9002702702702703
2,4.0,8.0,0.9003513513513515,0.9002702702702703
2,4.0,9.0,1.0,0.7010349761526232
2,4.0,10.0,1.0,0.7012274454294479
