Rep,Group Size,Random Group Score,Random Group Overlap,Super Group Score,Super Group Overlap
0,1.0,0.007547708178193021,0.0,1.0,0.0
0,2.0,0.009679850844163954,1.0,1.0,3.0
0,3.0,0.009940998053546077,1.0,0.90048,6.0
0,4.0,0.013470998053546079,3.0,0.8009332019704433,9.0
0,5.0,0.01896875404110559,5.0,1.0,12.0
0,6.0,1.0,6.0,0.90048,15.0
0,7.0,1.0,9.0,1.0,17.0
0,8.0,1.0,12.0,0.9004532019704433,20.0
0,9.0,1.0,15.0,0.90048,22.0
0,10.0,1.0,18.0,1.0,25.0
0,11.0,1.0,21.0,0.8009332019704433,28.0
0,12.0,1.0,24.0,1.0,30.0
0,13.0,1.0,27.0,1.0,33.0
0,14.0,1.0,30.0,1.0,36.0
0,15.0,1.0,33.0,1.0,39.0
1,1.0,0.007206065929669945,0.0,0.8007429718875502,0.0
1,2.0,0.012791902934070556,0.0,0.8007269076305221,3.0
1,3.0,0.018789658942333465,1.0,0.8007429718875502,6.0
1,4.0,0.9003951612903226,2.0,0.8006396068143541,9.0
1,5.0,1.0,5.0,0.8006396068143541,12.0
1,6.0,1.0,7.0,0.8006138754303201,15.0
1,7.0,1.0,10.0,0.9002620967741934,17.0
1,8.0,1.0,13.0,0.9003975903614456,20.0
1,9.0,1.0,15.0,1.0,22.0
1,10.0,1.0,18.0,1.0,25.0
1,11.0,1.0,21.0,1.0,28.0
1,12.0,1.0,24.0,0.9003975903614456,31.0
1,13.0,1.0,27.0,0.900374501992032,34.0
1,14.0,1.0,30.0,1.0,37.0
1,15.0,1.0,33.0,0.9003864541832669,40.0
2,1.0,0.012274421212433169,0.0,0.9003930131004367,0.0
2,2.0,0.01598274067083773,2.0,0.8007938751694021,3.0
2,3.0,0.016816718204703998,3.0,0.8007938751694021,6.0
2,4.0,0.015450881989182671,4.0,0.8008060565786975,9.0
2,5.0,0.0220759482011808,6.0,0.6015606684103363,12.0
2,6.0,1.0,8.0,0.7012236997308057,15.0
2,7.0,1.0,9.0,0.8008052098950523,17.0
2,8.0,1.0,12.0,0.701235034456456,19.0
2,9.0,1.0,15.0,0.8008052098950523,22.0
2,10.0,1.0,18.0,0.9004008620689655,25.0
2,11.0,1.0,21.0,0.9004043478260868,28.0
2,12.0,1.0,24.0,0.9004120171673818,31.0
2,13.0,1.0,27.0,0.8008163649934689,34.0
2,14.0,1.0,30.0,0.9003930131004367,36.0
2,15.0,1.0,33.0,0.9004120171673818,38.0
3,1.0,0.007698928954997136,0.0,0.9004871794871795,0.0
3,2.0,0.008946301326894852,1.0,0.7014721088683109,3.0
3,3.0,0.010127767380742288,3.0,0.9004871794871795,6.0
3,4.0,0.9005052083333333,4.0,0.801020725388601,9.0
3,5.0,0.8009798532389996,6.0,0.8008984245548513,12.0
3,6.0,1.0,8.0,0.9005077720207254,15.0
3,7.0,1.0,10.0,0.6019850622361866,17.0
3,8.0,1.0,12.0,0.9005077720207254,19.0
3,9.0,1.0,15.0,1.0,21.0
3,10.0,1.0,18.0,0.8009844559585492,23.0
3,11.0,1.0,21.0,0.9004870466321243,26.0
3,12.0,1.0,24.0,0.9005077720207254,29.0
3,13.0,1.0,27.0,0.8010051813471503,32.0
3,14.0,1.0,30.0,1.0,34.0
3,15.0,1.0,33.0,1.0,37.0
4,1.0,0.007747349562813459,0.0,0.9004714285714286,0.0
4,2.0,0.013895204016937343,1.0,0.9004455445544555,3.0
4,3.0,0.02184374444201693,1.0,0.7013635750676316,6.0
4,4.0,0.02232918133522081,4.0,0.9004714285714286,9.0
4,5.0,0.6018583861130135,6.0,0.8009169731258841,12.0
4,6.0,0.8009299651567945,9.0,0.800925974025974,15.0
4,7.0,1.0,11.0,1.0,17.0
4,8.0,0.8009299651567945,14.0,0.9004466019417476,19.0
4,9.0,0.8009299651567945,17.0,1.0,21.0
4,10.0,0.8009299651567945,20.0,1.0,23.0
4,11.0,1.0,22.0,1.0,25.0
4,12.0,0.8009160837551772,25.0,1.0,28.0
4,13.0,1.0,28.0,1.0,31.0
4,14.0,1.0,31.0,1.0,34.0
4,15.0,1.0,33.0,1.0,37.0
5,1.0,0.0082346607692335,0.0,0.900526595744681,0.0
5,2.0,0.007831012735520221,1.0,0.8008085106382978,3.0
5,3.0,0.010637560693194586,3.0,0.9002819148936171,6.0
5,4.0,0.013325951849736372,5.0,0.8009120207077028,9.0
5,5.0,0.012232539629916142,8.0,1.0,12.0
5,6.0,0.016011248842433747,10.0,0.9002819148936171,15.0
5,7.0,0.017610179323717164,13.0,1.0,17.0
5,8.0,0.8010186881328935,15.0,1.0,19.0
5,9.0,0.9005053191489362,17.0,0.8008989361702128,22.0
5,10.0,0.7015454545454546,20.0,1.0,25.0
5,11.0,0.9005187165775401,23.0,1.0,27.0
5,12.0,1.0,25.0,1.0,30.0
5,13.0,1.0,28.0,1.0,33.0
5,14.0,0.8010186881328935,31.0,0.900526595744681,35.0
5,15.0,0.9005133689839573,34.0,0.9004468085106383,38.0
6,1.0,0.005646689698310886,0.0,0.9004239631336406,0.0
6,2.0,0.007239135158734046,1.0,0.9004239631336406,3.0
6,3.0,0.010283687061879284,3.0,1.0,6.0
6,4.0,0.012982738004357328,4.0,0.9004239631336406,9.0
6,5.0,0.02286986974480602,5.0,0.9003243243243244,12.0
6,6.0,0.9004434389140272,7.0,1.0,15.0
6,7.0,0.9004434389140272,10.0,0.8008402527264007,17.0
6,8.0,1.0,12.0,1.0,19.0
6,9.0,1.0,15.0,0.9003243243243244,21.0
6,10.0,1.0,18.0,1.0,24.0
6,11.0,1.0,21.0,0.9003243243243244,27.0
6,12.0,1.0,24.0,1.0,29.0
6,13.0,1.0,27.0,0.9004516129032257,31.0
6,14.0,1.0,30.0,1.0,33.0
6,15.0,1.0,33.0,1.0,35.0
7,1.0,0.011224006720594652,0.0,1.0,0.0
7,2.0,0.02056203766164128,0.0,1.0,3.0
7,3.0,0.024826820314077184,2.0,0.9004476190476189,6.0
7,4.0,0.9004150943396226,4.0,0.9004476190476189,9.0
7,5.0,1.0,6.0,0.9003415841584157,12.0
7,6.0,1.0,8.0,0.8007886995430311,15.0
7,7.0,1.0,10.0,0.8007838918507236,17.0
7,8.0,1.0,13.0,0.9004759615384614,19.0
7,9.0,1.0,16.0,1.0,22.0
7,10.0,1.0,19.0,0.9004759615384614,24.0
7,11.0,1.0,22.0,0.7012697857303067,27.0
7,12.0,1.0,25.0,0.8007892032060349,30.0
7,13.0,0.9004666666666667,28.0,0.8008922294810453,33.0
7,14.0,1.0,31.0,1.0,36.0
7,15.0,1.0,34.0,0.7012054711486186,39.0
8,1.0,0.007949645183000235,0.0,1.0,0.0
8,2.0,0.010193532115707591,2.0,1.0,3.0
8,3.0,0.008849782115707593,4.0,1.0,6.0
8,4.0,1.0,4.0,0.8006127155172414,9.0
8,5.0,1.0,7.0,0.9002689655172414,12.0
8,6.0,1.0,9.0,0.9002689655172414,15.0
8,7.0,1.0,12.0,0.800512021072797,17.0
8,8.0,1.0,15.0,0.9002430555555556,20.0
8,9.0,1.0,18.0,0.90034375,23.0
8,10.0,1.0,20.0,1.0,25.0
8,11.0,1.0,23.0,1.0,27.0
8,12.0,1.0,26.0,0.9003413793103447,30.0
8,13.0,1.0,29.0,1.0,32.0
8,14.0,1.0,32.0,1.0,35.0
8,15.0,1.0,34.0,1.0,38.0
9,1.0,0.006866409494840277,0.0,0.9004328358208955,0.0
9,2.0,0.010349668094061017,0.0,0.8008261324954177,3.0
9,3.0,0.011410528237065816,2.0,0.7011981131717462,6.0
9,4.0,0.019299394816324433,3.0,0.6017096433246255,9.0
9,5.0,0.01329757293979161,6.0,0.5021929414802307,12.0
9,6.0,1.0,8.0,0.7010711849472899,15.0
9,7.0,0.9004577114427861,11.0,0.6017230831488491,17.0
9,8.0,0.9004577114427861,14.0,0.7013508362170728,20.0
9,9.0,1.0,16.0,0.9004759615384614,22.0
9,10.0,1.0,19.0,0.9004460093896715,25.0
9,11.0,1.0,21.0,0.9004328358208955,28.0
9,12.0,1.0,24.0,0.9004460093896715,31.0
9,13.0,1.0,27.0,1.0,33.0
9,14.0,1.0,30.0,0.9004460093896715,36.0
9,15.0,1.0,33.0,0.9004471153846154,38.0
